Course ID,Required Course
CMET 2105,ETCE 1222
CMET 2105,CMET 1400
CMET 2105,MATH 1103
CMET 2221,CMET 2105
CMET 2221,PHYS 1101
ETCE 2112,ETCE 1104
ETCE 2112,ETCE 1211
ETCE 2112L,ETCE 1211
ETCE 2112L,ETGR 1103
ETCE 2163L,ETCE 1222
ETCE 2410,MATH 1103
ETCE 2410,ETGR 2101
ETCE 3131,ETGR 2102
ETCE 3163,ETGR 2102
ETCE 3242,ETGR 2102
ETCE 3242,ETCE 2410
ETCE 3242,PHYS 1102
ETCE 3264,ETGR 2102
ETCE 3264,ETGR 2272
ETCE 3271,ETCE 2410
ETCE 3271,PHYS 1102
ETCE 4143,ETCE 3242
ETCE 4143,CHEM 1111
ETCE 4143,CHEM 1251
ETCE 4165,ETCE 3163
ETCE 4165,ETCE 3264
ETCE 4251,ETCE 1211
ETCE 4251,ETCE 3131
ETCE 4266,ETCE 3163
ETCE 4266,ETCE 3264
ETCE 4344,ETCE 3242
ETCE 4350,ETCE 3131
COMM 3051,COMM 3115
COMM 3051,AFRS 2170
COMM 3052,COMM 3120
COMM 3054,COMM 3141
COMM 3055,COMM 2145
COMM 3100,COMM 2100
COMM 3100,STAT 1220
COMM 3100,STAT 1221
COMM 3100,STAT 1222
COMM 3115,COMM 2100
COMM 3115,HLTH 2101
COMM 3115,AFRS 2170
COMM 3120,COMM 2100
COMM 3130,COMM 2100
COMM 3141,COMM 2100
COMM 3142,COMM 3141
COMM 3160,INFO 2130
COMM 3245,JOUR 2100
COMM 3245,JOUR 2160
COMM 3246,COMM 2145
COMM 3403,COMM 2103
COMM 3880,COMM 1101
COMM 3891,COMM 3890
COMM 4141,COMM 3141
COMM 4145,COMM 2145
COMM 4145,COMM 3245
COMM 4147,COMM 2145
COMM 4615,COMM 3115
COMM 4652,COMM 3120
ITCS 1610,MATH 1100
ITCS 1610,MATH 1101
ITCS 1610,MATH 1103
ITCS 1610,MATH 1120
ITCS 1610,MATH 1242
ITCS 2215,MATH 1120
ITCS 2215,MATH 1241
ITCS 2215,ITSC 2175
ITCS 2215,MATH 2165
ITCS 2215,ITSC 2214
ITCS 2301,ITCS 1301
